178.132.0.221 - - [22/Feb/2018:14:04:51 +0900] "-" 400 -
5.39.222.37 - - [22/Feb/2018:15:53:57 +0900] "-" 400 -
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET / HTTP/1.1" 200 478
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /css/bootstrap.css HTTP/1.1" 200 141519
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /js/bootstrap.js HTTP/1.1" 200 66732
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /login.jsp HTTP/1.1" 200 5116
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /image/bird.png HTTP/1.1" 200 6457
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /css/bootstrap.css HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:42:59 +0900] "GET /js/bootstrap.js HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:43:00 +0900] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
114.200.132.27 - - [22/Feb/2018:16:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
114.200.132.27 - - [22/Feb/2018:16:43:16 +0900] "POST /loginAction.jsp HTTP/1.1" 200 268
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "POST /loginAction.jsp HTTP/1.1" 200 231
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "GET /main.jsp HTTP/1.1" 200 9864
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "GET /css/bootstrap.css HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "GET /image/bird.png HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "GET /js/bootstrap.js HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:43:19 +0900] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
114.200.132.27 - - [22/Feb/2018:16:43:26 +0900] "POST /translate.jsp HTTP/1.1" 200 15
114.200.132.27 - - [22/Feb/2018:16:43:41 +0900] "POST /translate.jsp HTTP/1.1" 200 34
114.200.132.27 - - [22/Feb/2018:16:43:45 +0900] "POST /translate.jsp HTTP/1.1" 200 46
